"","Reference","family","EnglishName","Species","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","ForStrat.ground","mass","Average.mass..kg.","Location","sample.size","estimated.dead","estimated.survived","survival.est","SE","X95..CI..lower.","X95..CI..upper.","sex","age","Group","Method","survival.estimate.type","death.type","notes","forage","diet","est.type","spcode","stcode","famcode"
"11","Real and Manosa(1997)","accipitridae","Bonelli's Eagle ","Aquila fasciata",0,90,10,0,0,0,0,0,0,0,70,0.325760468653377,2.5,"Burgos, Spain",74,5,69,0.9327,0.024,NA,NA,"","adult","",5,"unknown true","indirect","potentially 1-4 years old",0.241159737717662,-0.299382219098921,1,7,48,1
"12","Real and Manosa(1997)","accipitridae","Bonelli's Eagle ","Aquila fasciata",0,90,10,0,0,0,0,0,0,0,70,0.325760468653377,2.5,"Navarra, Spain",92,7,85,0.924,NA,NA,NA,"","adult","",5,"unknown true","indirect","",0.241159737717662,-0.299382219098921,1,7,48,1
"13","Real and Manosa(1997)","accipitridae","Bonelli's Eagle ","Aquila fasciata",0,90,10,0,0,0,0,0,0,0,70,0.325760468653377,2.5,"Valles, Spain",240,21,219,0.9116,0.0788,NA,NA,"","adult","",5,"unknown true","indirect","",0.241159737717662,-0.299382219098921,1,7,48,1
"14","Real and Manosa(1997)","accipitridae","Bonelli's Eagle ","Aquila fasciata",0,90,10,0,0,0,0,0,0,0,70,0.325760468653377,2.5,"Castello, Spain",670,86,584,0.8713,0.0676,NA,NA,"","adult","",5,"unknown true","indirect","",0.241159737717662,-0.299382219098921,1,7,48,1
"15","Real and Manosa(1997)","accipitridae","Bonelli's Eagle ","Aquila fasciata",0,90,10,0,0,0,0,0,0,0,70,0.325760468653377,2.5,"Murcia, Spain",262,42,220,0.8391,0.1225,NA,NA,"","adult","",5,"unknown true","indirect","",0.241159737717662,-0.299382219098921,1,7,48,1
"16","Real and Manosa(1997)","accipitridae","Bonelli's Eagle ","Aquila fasciata",0,90,10,0,0,0,0,0,0,0,70,0.325760468653377,2.5,"Provence, France",228,9,219,0.9607,0.0219,NA,NA,"","adult","",5,"unknown true","indirect","",0.241159737717662,-0.299382219098921,1,7,48,1
"17","Hayward et al. (1993)","strigidae","Boreal Owl ","Aegolius funereus",30,70,0,0,0,0,0,0,0,0,90,-0.454273596715018,0.12,"Idaho, USA",24,6,18,0.46,NA,0.23,0.91,"","adult","",5,"unknown true","indirect","",0.559714926144714,0.269978608294562,1,8,23,5
"18","Millsap (2002)","strigidae","Burrowing Owl ","Athene cunicularia",20,70,10,0,0,0,0,0,0,0,80,-0.444441234546508,0.15,"Florida, USA",36,7,29,0.81,0.04,NA,NA,"male","adult",">60 % devt",3,"apparent","indirect","",0.400437331931188,0.0801916658300681,1,9,40,5
"19","Millsap (2002)","strigidae","Burrowing Owl ","Athene cunicularia",20,70,10,0,0,0,0,0,0,0,80,-0.444441234546508,0.15,"Florida, USA",46,14,32,0.69,0.04,NA,NA,"female","adult",">60 % devt",3,"apparent","indirect","",0.400437331931188,0.0801916658300681,1,9,40,5
"20","Millsap (2002)","strigidae","Burrowing Owl ","Athene cunicularia",20,70,10,0,0,0,0,0,0,0,80,-0.444441234546508,0.15,"Florida, USA",35,13,22,0.62,0.05,NA,NA,"male","adult","20-39% devt",3,"apparent","indirect","",0.400437331931188,0.0801916658300681,1,9,40,5
