Reference,Species,Average mass (kg),Location,sample size,estimated dead,estimated survived,survival est,SE,95% CI (lower),95% CI (upper),sex,age,Group,Method,survival estimate type,death type,notes
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,"Rockingham, England",117,49,68,0.722,0.064,,,female,third year,,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,"Rockingham, England",118,46,72,0.757,0.059,,,female,fourth year,,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,"Rockingham, England",68,27,41,0.643,0.073,,,female,fifth year,,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,"Rockingham, England",42,19,23,0.642,0.083,,,female,sixth year,,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,"Rockingham, England",25,10,15,0.631,0.107,,,female,seventh year,,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,"Rockingham, England",13,6,7,0.765,0.146,,,female,eighth year,,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,"Rockingham, England",8,5,3,0.479,0.121,,,female,ninth year,,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,"Rockingham, England",2,1,1,0.479,0.121,,,female,tenth year,,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,"Rockingham, England",3,2,1,0.479,0.121,,,female,eleventh year,,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,"Eskdale, Scotland",75,46,29,0.503,0.08,,,female,second year,,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,"Eskdale, Scotland",87,40,47,0.621,0.063,,,female,third year,,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,"Eskdale, Scotland",112,52,60,0.62,0.054,,,female,fourth year,,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,"Eskdale, Scotland",53,22,31,0.635,0.072,,,female,fifth year,,3,apparent,indirect,
