Order,Family,Scientific,English,Mass
Accipitriformes,Cathartidae,Cathartes burrovianus,Lesser Yellow-headed Vulture,935
Accipitriformes,Cathartidae,Cathartes melambrotus,Greater Yellow-headed Vulture,1373
Accipitriformes,Cathartidae,Gymnogyps californianus,California Condor,8442.74
Accipitriformes,Cathartidae,Vultur gryphus,Andean Condor,11236.1
Accipitriformes,Cathartidae,Sarcoramphus papa,King Vulture,3400
Accipitriformes,Accipitridae,Circaetus beaudouini,Beaudouin's Snake-eagle,1539.2
Accipitriformes,Accipitridae,Accipiter toussenelii,Red-chested Goshawk,249.29
Strigiformes,Strigidae,Bubo cinerascens,Greyish Eagle-Owl,499.99
Strigiformes,Strigidae,Glaucidium nubicola,Cloud-forest Pygmy-owl,77.53
Strigiformes,Strigidae,Ptilopsis granti,Southern White-faced Owl,214.42
Strigiformes,Strigidae,Strix chacoensis,Chaco Owl,330
Strigiformes,Strigidae,Bubo magellanicus,Lesser Horned Owl,1166.38
Strigiformes,Strigidae,Otus moheliensis,Moheli Scops-owl,104.97
Strigiformes,Strigidae,Glaucidium costaricanum,Costa Rican Pygmy-owl,65.99
Strigiformes,Strigidae,Megascops colombianus,Colombian Screech-owl,172
Strigiformes,Strigidae,Otus alius,Nicobar Scops-owl,123.28
Strigiformes,Strigidae,Megascops petersoni,Cinnamon Screech-owl,100
Strigiformes,Strigidae,Otus collari,Sangihe Scops-owl,81.91
Falconiformes,Falconidae,Micrastur mintoni,Cryptic Forest-falcon,209.5
Strigiformes,Strigidae,Ninox burhani,Togian Hawk-owl,99
Strigiformes,Strigidae,Otus thilohoffmanni,Serendib Scops-owl,110.2
Strigiformes,Strigidae,Ninox sumbaensis,Little Sumba Hawk-owl,90
Strigiformes,Strigidae,Ninox ios,Cinnabar Hawk-owl,86
Strigiformes,Strigidae,Glaucidium mooreorum,Pernambuco Pygmy-owl,51
Strigiformes,Strigidae,Otus siaoensis,Siau Scops-owl,165
Strigiformes,Strigidae,Otus mayottensis,Mayotte Scops-owl,101
Accipitriformes,Accipitridae,Chondrohierax wilsonii,Cuban Kite,286.07
Accipitriformes,Accipitridae,Gyps tenuirostris,Slender-billed Vulture,5515
Accipitriformes,Accipitridae,Circus macrosceles,Madagascar Harrier,663.6
Accipitriformes,Accipitridae,Buteogallus gundlachii,Cuban Black Hawk,975.09
Accipitriformes,Accipitridae,Aquila hastata,Indian Spotted Eagle,1359.41
Accipitriformes,Accipitridae,Hieraaetus weiskei,New Guinea Hawk-eagle,775.05
Accipitriformes,Accipitridae,Nisaetus floris,Flores Hawk-eagle,1475.12
Falconiformes,Falconidae,Caracara cheriway,Crested Caracara,1078.62
Falconiformes,Falconidae,Falco pelegrinoides,Barbary Falcon,759.95
