Order,Family,Scientific,English,Mass
Accipitriformes,Accipitridae,Circaetus cinereus,Brown Snake-eagle,2048
Accipitriformes,Accipitridae,Circaetus fasciolatus,Southern Banded Snake-eagle,1013.6
Accipitriformes,Accipitridae,Circaetus cinerascens,Banded Snake-eagle,1115
Accipitriformes,Accipitridae,Terathopius ecaudatus,Bateleur,2200
Accipitriformes,Accipitridae,Spilornis cheela,Crested Serpent-eagle,597.74
Accipitriformes,Accipitridae,Spilornis klossi,South Nicobar Serpent-eagle,938.66
Accipitriformes,Accipitridae,Spilornis kinabaluensis,Mountain Serpent-eagle,938.66
Accipitriformes,Accipitridae,Spilornis rufipectus,Sulawesi Serpent-eagle,938.66
Accipitriformes,Accipitridae,Spilornis holospilus,Philippine Serpent-eagle,705
Accipitriformes,Accipitridae,Spilornis elgini,Andaman Serpent-eagle,895
Accipitriformes,Accipitridae,Dryotriorchis spectabilis,Congo Serpent-eagle,697
Accipitriformes,Accipitridae,Eutriorchis astur,Madagascar Serpent-eagle,1790
Accipitriformes,Accipitridae,Circus aeruginosus,Western Marsh-harrier,704.07
